bp_idx,base_prompt,base_prompt_score,base_prompt_regression_score,generated_pv,generated_pv_score
500,Author a guide on creating sequences using everyday objects for a third-grader.,22.5,18.5625,AUTHOR A GUIDE ON CREATING SEQUENCES USING EVERYDAY OBJECTS FOR A THIRD-GRADER.,16.546875
501,Design a guide to help third-graders understand pattern vocabulary.,20.25,18.9375,DESIGN A GUIDE TO HELP THIRD-GRADERS UNDERSTAND PATTERN VOCABULARY.,17.546875
502,Design a guide to introduce third-graders to basic sequences.,21.0,19.53125,DESIGN A GUIDE TO INTRODUCE THIRD-GRADERS TO BASIC SEQUENCES.,17.203125
503,Develop a pattern recognition guide suitable for a third-grade math lesson.,21.5,20.125,DEVELOP A PATTERN RECOGNITION GUIDE SUITABLE FOR A THIRD-GRADDER MATH LESSON.,17.03125
504,Prepare a pattern-making guide for a third-grader to practice at home.,23.0,20.421875,PREPARE A PATTERN-MAKING GUIDE FOR A THIRD-GRADER TO PRACTICE AT HOME.,17.4375
505,Design a guide for third-grade readers to recognize historical fiction book elements.,23.0,20.390625,DESIGN A GUIDE FOR THIRD-GRADE READERS TO RECOGNIZE HISTORICAL FICTION BOOK ELEMENTS.,17.859375
506,Craft a learning guide for third-graders to analyze book reviews and ratings.,20.0,20.375,CRAFT A LEARNING GUIDE FOR THIRD-GRADERS TO ANALYZE BOOK REVIEWS AND RATINGS.,18.140625
507,Craft a learning guide for third-graders to analyze book covers and titles.,23.5,20.234375,CRAFT A LEARNING GUIDE FOR THIRD-GRADERS TO ANALYZE BOOK COVERS AND TITLES.,17.8125
508,Develop a guide for third-grade students to understand book awards and recognition.,22.75,20.984375,DEVELOP A GUIDE FOR THIRD-GRADERS TO UNDERSTAND BOOK AWARDS AND RECOGNITION.,17.875
509,Prepare a guide for third-grade readers to identify illustrations in children's literature.,23.5,20.953125,PREPARE A GUIDE FOR THIRD-GRADERS READER TO IDENTIFY ILLUSTRATIONS IN CHILDREN'S LITERATURE.,18.1875
510,Prepare a guide for third-grade readers to identify humor in children's literature.,21.5,20.796875,PREPARE A GUIDE FOR THIRD-GRADERS TO IDENTIFY HUMOR IN CHILDREN'S LITERATURE.,18.140625
511,Develop a guide for third-grade students to understand dystopian book themes.,20.25,19.890625,DEVELOP A GUIDE FOR THIRD-GRADERS TO UNDERSTAND DYSTOPIAN BOOK THEMES.,17.0
512,Design a guide for third-grade readers to learn about book clubs and discussions.,22.25,20.953125,DESIGN A GUIDE FOR THIRD-GRADERS TO LEARN ABOUT BOOK CLUBS AND DISCUSSIONS.,18.625
513,Produce a study guide for third-grade students to learn about mythology book features.,22.0,20.0,PRODUCE A STUDY GUIDE FOR THIRD-GRADERS TO LEARN ABOUT MYTHOLOGY BOOK FEATURES.,17.65625
514,Write a guide for third-graders to recognize utopian book characteristics.,22.5,18.6875,WRITE A GUIDE FOR THIRD-GRADERS TO RECOGNIZE UTOPIAN BOOK CHARACTERISTICS.,16.96875
515,Design a guide for third-grade readers to learn about environmental fiction book features.,21.75,20.9375,DESIGN A GUIDE FOR THIRD-GRADER READERS TO LEARN ABOUT ENVIRONMENTAL FICTION BOOK FEATURES.,18.5
516,Craft a learning guide for third-graders to analyze informational book content.,23.0,19.96875,CRAFT A LEARNING GUIDE FOR THIRD-GRADERS TO ANALYZE INFORMATIONAL BOOK CONTENT.,18.40625
517,Create a reading guide for a third-grader on identifying fantasy book genres.,22.5,19.53125,CREATE A READING GUIDE FOR A THIRD-GRADER ON IDENTIFYING FANTASY BOOK GENRES.,17.3125
518,Create a guide for third-graders to explore audiobooks as a reading option.,22.25,18.96875,CREATE A GUIDE FOR THIRD-GRADERS TO EXPLORE AUBIOBOOKS AS A READING OPTION.,17.296875
519,Write a guide for third-graders to recognize book recommendations from teachers and peers.,21.5,20.0,WRITE A GUIDE FOR THIRD-GRADERS TO RECOGNIZE BOOK RECOMMENDATIONS FROM TEACHERS AND PEERS.,17.796875
520,Compose a guide for third-graders to distinguish between chapter books and early readers.,23.25,20.078125,COMPOSE A GUIDE FOR THIRD-GRADERS TO DISTINGUISH BETWEEN CHAPTER BOOKS AND EARLY READERS.,17.984375
521,Design a guide for third-grade readers to learn about series books and their benefits.,21.5,20.96875,DESIGN A GUIDE FOR THIRD-GRADER READERS TO LEARN ABOUT SERIES BOOKS AND THEIR BENEFITS.,19.015625
522,Create a guide for third-graders to explore graphic novels as a book genre.,21.25,20.234375,CREATE A GUIDE FOR THIRD-GRADERS TO EXPLORE GRAPHIC NOVELS AS A BOOK GENRE.,17.921875
