bp_idx,base_prompt,base_prompt_score,base_prompt_regression_score,generated_pv,generated_pv_score
500,Author a guide on creating sequences using everyday objects for a third-grader.,22.5,18.703125,"Author a guide on creating sequences using everyday objects for a third-grader, with clear and concise headings and short paragraphs.",19.09375
501,Design a guide to help third-graders understand pattern vocabulary.,20.25,19.15625,Design a pattern vocabulary guide to help third-graders understand and apply pattern vocabulary.,20.0
502,Design a guide to introduce third-graders to basic sequences.,21.0,19.4375,Create a learning guide for a third-grader on the concept of basic sequences.,20.953125
503,Develop a pattern recognition guide suitable for a third-grade math lesson.,21.5,19.890625,Create a step-by-step pattern recognition guide for a third-grader to identify and create patterns in math problems.,21.15625
504,Prepare a pattern-making guide for a third-grader to practice at home.,23.0,20.1875,"Create a detailed, illustrated pattern-making guide for a third-grader to practice at home.",21.140625
505,Design a guide for third-grade readers to recognize historical fiction book elements.,23.0,20.21875,"Design a clear, concise guide for third-grade readers to recognize historical fiction book elements.",21.203125
506,Craft a learning guide for third-graders to analyze book reviews and ratings.,20.0,20.203125,"Create a comprehensive, two-page learning guide for third-graders to analyze book reviews and ratings. Include an introduction, a process of analysis, and a conclusion, and include space for readers to track their progress. Include an annotated bibliography, a glossary",21.375
507,Craft a learning guide for third-graders to analyze book covers and titles.,23.5,20.359375,"Craft a simple, step-by-step learning guide for third-graders to analyze book covers and titles.",20.765625
508,Develop a guide for third-grade students to understand book awards and recognition.,22.75,20.921875,"Develop a comprehensive, structured guide for third-grade students to understand book awards and recognition.",21.546875
509,Prepare a guide for third-grade readers to identify illustrations in children's literature.,23.5,20.9375,"Create a comprehensive, step-by-step guide for third-grade readers to identify illustrations in children's literature.",21.375
510,Prepare a guide for third-grade readers to identify humor in children's literature.,21.5,20.8125,Prepare a guide for third-grade readers to identify humor in children's literature.,20.796875
511,Develop a guide for third-grade students to understand dystopian book themes.,20.25,19.78125,"Develop a comprehensive, step-by-step guide for third-grade students to understand dystopian book themes.",20.546875
512,Design a guide for third-grade readers to learn about book clubs and discussions.,22.25,20.671875,Design a learning guide for third-grade readers to learn about book clubs and discussions.,21.171875
513,Produce a study guide for third-grade students to learn about mythology book features.,22.0,19.96875,"Produce a comprehensive, 10-page study guide for third-grade students to learn about mythology book features.",20.53125
514,Write a guide for third-graders to recognize utopian book characteristics.,22.5,18.90625,Create a learning guide for third-graders to identify and describe the key characteristics of utopian books.,20.453125
515,Design a guide for third-grade readers to learn about environmental fiction book features.,21.75,20.796875,"Design a comprehensive, detailed learning guide for third-grade readers to learn about the features of environmental fiction books.",22.140625
516,Craft a learning guide for third-graders to analyze informational book content.,23.0,20.125,"Create a clear, concise learning guide for third-graders to analyze informational book content.",21.1875
517,Create a reading guide for a third-grader on identifying fantasy book genres.,22.5,19.5625,"Create a simple, step-by-step reading guide for a third-grader on identifying fantasy book genres.",20.328125
518,Create a guide for third-graders to explore audiobooks as a reading option.,22.25,18.796875,"Create a comprehensive, interactive learning guide for third-graders to explore audiobooks as a reading option.",20.03125
519,Write a guide for third-graders to recognize book recommendations from teachers and peers.,21.5,20.078125,Write a learning guide for third-graders to identify book recommendations from their teachers and peers.,21.03125
520,Compose a guide for third-graders to distinguish between chapter books and early readers.,23.25,20.03125,Compose a step-by-step guide for third-graders to distinguish between chapter books and early readers.,20.734375
521,Design a guide for third-grade readers to learn about series books and their benefits.,21.5,21.171875,"Create a comprehensive, visually appealing learning guide for third-grade readers to learn about series books and their benefits.",21.921875
522,Create a guide for third-graders to explore graphic novels as a book genre.,21.25,20.046875,Create a guide for third-graders to explore graphic novels as a book genre.,20.53125
523,Compose a guide for third-graders to distinguish between print and digital books.,21.25,20.25,"Compose a learning guide for third-graders to distinguish between print and digital books, including examples and explanations.",20.953125
524,Develop a guide for third-grade students to understand early reader book characteristics.,20.25,21.15625,Develop a comprehensive guide for third-grade students to understand early reader book characteristics.,21.640625
525,Prepare a guide for third-grade readers to identify fantasy creatures in literature.,22.75,20.3125,Prepare a comprehensive guide for third-grade readers to identify fantasy creatures in literature.,20.984375
526,Prepare a guide for third-grade readers to identify accessibility features in e-books.,22.5,20.71875,"Create a comprehensive, user-centered guide for third-grade readers to identify accessibility features in e-books.",21.515625
527,Create a guide for third-graders to explore magical realism book elements.,21.75,19.171875,Create a comprehensive guide for third-graders to explore magical realism book elements.,19.75
528,Produce a study guide for third-grade students to learn about author studies and biographies.,21.75,20.296875,Produce a study guide for third-grade students to learn about author studies and biographies.,19.796875
529,Write a comprehensive guide for third-graders to understand science fiction book characteristics.,21.75,19.40625,Write a comprehensive guide for third-graders to understand the characteristics of science fiction books.,19.953125
530,Write a guide for third-graders to recognize transitional books as a stepping stone.,23.0,19.734375,Write a guide for third-graders to recognize transitional books as a stepping stone to understanding more complex literature.,19.859375
531,Craft a learning guide for third-graders to analyze realistic fiction book themes.,21.0,19.984375,"Create a clear, concise learning guide for third-graders to analyze realistic fiction book themes.",20.625
532,Craft a learning guide for third-graders to analyze social justice book content.,23.75,19.890625,Craft a comprehensive learning guide for third-graders to analyze the content of a social justice book.,20.703125
