bp_idx,base_prompt,base_prompt_score,base_prompt_regression_score,generated_pv,generated_pv_score
500,Author a guide on creating sequences using everyday objects for a third-grader.,22.5,18.828125,Author a guide on creating sequences using everyday objects for a third-grader. Important: focus only on creating sequences,18.78125
501,Design a guide to help third-graders understand pattern vocabulary.,20.25,19.046875,Design a guide to help third-graders understand pattern vocabulary. Important: make sure to talk only about pattern vocabulary.,19.46875
502,Design a guide to introduce third-graders to basic sequences.,21.0,19.109375,Design a guide to introduce third-graders to basic sequences. Important: ensure that the guide is comprehensive and easy to follow.,19.71875
503,Develop a pattern recognition guide suitable for a third-grade math lesson.,21.5,19.984375,Develop a pattern recognition guide suitable for a third-grade math lesson. Important: make sure to teach third-grade students about patterns,20.28125
504,Prepare a pattern-making guide for a third-grader to practice at home.,23.0,20.171875,Prepare a pattern-making guide for a third-grader to practice at home. Important: make sure to talk only about pattern-making,19.71875
505,Design a guide for third-grade readers to recognize historical fiction book elements.,23.0,20.390625,Design a guide for third-grade readers to recognize historical fiction book elements. Important: make sure to include elements of historical fiction.,20.453125
506,Craft a learning guide for third-graders to analyze book reviews and ratings.,20.0,20.265625,Craft a learning guide for third-graders to analyze book reviews and ratings. Important: focus on learning how to analyze book reviews and ratings.,20.40625
507,Craft a learning guide for third-graders to analyze book covers and titles.,23.5,20.25,Craft a learning guide for third-graders to analyze book covers and titles. Important: focus only on book covers and titles.,20.4375
508,Develop a guide for third-grade students to understand book awards and recognition.,22.75,20.796875,Develop a guide for third-grade students to understand book awards and recognition. Important: focus only on book awards and recognition. Focus: make sure to include the EXACT phrase 'book awards' and the word 'third-grader'. Focus: include the,20.25
509,Prepare a guide for third-grade readers to identify illustrations in children's literature.,23.5,21.140625,Prepare a guide for third-grade readers to identify illustrations in children's literature. Important: make sure to identify illustrations in children's literature.,20.734375
510,Prepare a guide for third-grade readers to identify humor in children's literature.,21.5,20.515625,Prepare a guide for third-grade readers to identify humor in children's literature. Important: focus on humor.,20.359375
511,Develop a guide for third-grade students to understand dystopian book themes.,20.25,19.984375,Develop a guide for third-grade students to understand dystopian book themes. Important: focus on the most relevant dystopian book themes for third-grade readers.,19.953125
