bp_idx,base_prompt,base_prompt_score,base_prompt_regression_score,generated_pv,generated_pv_score
500,Author a guide on creating sequences using everyday objects for a third-grader.,22.5,18.625,Autor a guid for creatng sequencs usng evryday objetcs for a third-grader.,17.5625
501,Design a guide to help third-graders understand pattern vocabulary.,20.25,19.0,Deign a guid to help third-graders undrstand pattern vocabulry.,18.71875
502,Design a guide to introduce third-graders to basic sequences.,21.0,19.203125,Designe a guide to intoduce third-graders to basic sequenes.,18.59375
503,Develop a pattern recognition guide suitable for a third-grade math lesson.,21.5,20.078125,Devlop a pattenr recognition guid for a thrid-grader math lesson.,18.640625
504,Prepare a pattern-making guide for a third-grader to practice at home.,23.0,20.390625,Prepare a patterne-making guiede for a third-grader to practise at hom.,19.890625
505,Design a guide for third-grade readers to recognize historical fiction book elements.,23.0,20.171875,Designe a guide for third-grade readers to recgnise historay fiction book elements.,19.8125
506,Craft a learning guide for third-graders to analyze book reviews and ratings.,20.0,20.25,Crafte a leawrning guide for third-graders to analsize book reveiwes and ratings.,18.8125
507,Craft a learning guide for third-graders to analyze book covers and titles.,23.5,20.328125,Craft a leawning guide for third-graders to analyse book covrs and titlez.,19.828125
508,Develop a guide for third-grade students to understand book awards and recognition.,22.75,20.96875,Develp a guid for thrid-grader studnts to undrstand book awards and recognitoin.,19.25
509,Prepare a guide for third-grade readers to identify illustrations in children's literature.,23.5,20.890625,Prepare a guid for third-grader readres to idenfit illustrations in childerens literatur.,19.875
510,Prepare a guide for third-grade readers to identify humor in children's literature.,21.5,20.578125,Prepae a guid for third-grader readres to idntify humoer in children's literatur.,18.546875
511,Develop a guide for third-grade students to understand dystopian book themes.,20.25,20.0625,Develp a guide for third-grade stundnts to undrstnd dystopian book themes.,19.046875
512,Design a guide for third-grade readers to learn about book clubs and discussions.,22.25,21.0,Designe a guid for third-grade reades to learn abut book clubes and discusson.,19.34375
513,Produce a study guide for third-grade students to learn about mythology book features.,22.0,19.890625,Produc a studyg guide for third-grader studeents to lern about mytholgy book featurus.,18.765625
514,Write a guide for third-graders to recognize utopian book characteristics.,22.5,18.9375,Writ a gude for thrid-graders to recogin utopian bok charactristiks.,17.390625
515,Design a guide for third-grade readers to learn about environmental fiction book features.,21.75,20.796875,Designe a guide for third-grader reader to learn about envirnmental fiction book featuries.,20.234375
516,Craft a learning guide for third-graders to analyze informational book content.,23.0,20.203125,Crafte a leawrning guide for third-graders to analsise informatoinal book contnet.,18.5
517,Create a reading guide for a third-grader on identifying fantasy book genres.,22.5,19.53125,Creat a reading guide for a third-grader on identifing fantasu book genres.,19.125
518,Create a guide for third-graders to explore audiobooks as a reading option.,22.25,19.078125,Crete a guide for thrid-graders to explore audibooks as a readin optin.,19.078125
519,Write a guide for third-graders to recognize book recommendations from teachers and peers.,21.5,19.859375,Writ a guide for third-graders to recoginze book recomendations from techeress and peeress.,19.359375
520,Compose a guide for third-graders to distinguish between chapter books and early readers.,23.25,19.765625,Composee a guidee for third-graders to dinstinbe beetween chpter books and ealy readeers.,18.921875
521,Design a guide for third-grade readers to learn about series books and their benefits.,21.5,21.234375,Deign a guid for thrid-grader readre to learn abot seris book and ther benefis.,18.78125
522,Create a guide for third-graders to explore graphic novels as a book genre.,21.25,20.359375,Creat a guide for third-graders to explore graphic novels as a book genre.,19.890625
523,Compose a guide for third-graders to distinguish between print and digital books.,21.25,20.09375,Composee a guide for thrid-graders to dinstinbe entre prnt and digtal bookes.,18.96875
524,Develop a guide for third-grade students to understand early reader book characteristics.,20.25,21.046875,Devop a guid for third-grader studeantes to undrstnd earley rader book charactrsts.,18.734375
525,Prepare a guide for third-grade readers to identify fantasy creatures in literature.,22.75,20.515625,Prepare a guide for thrid-grader readres to idntify fantasy creatures in literatur.,19.734375
526,Prepare a guide for third-grade readers to identify accessibility features in e-books.,22.5,20.15625,Prepae a guide for thrid-grader readews to identifay acessibilty featurees in ebooks.,19.1875
527,Create a guide for third-graders to explore magical realism book elements.,21.75,19.328125,Crete a guid for thrid-graderes to explre magicl realism book elemnts.,18.09375
528,Produce a study guide for third-grade students to learn about author studies and biographies.,21.75,20.1875,Producse a studie guide for thrid-grader studeents to lern about autor studies and biograpies.,18.140625
529,Write a comprehensive guide for third-graders to understand science fiction book characteristics.,21.75,19.359375,Writ a comppless guid for thrid-graders to undorstand sceince fiction book charactiris.,18.265625
530,Write a guide for third-graders to recognize transitional books as a stepping stone.,23.0,19.78125,Writ a guide for thrid-graders to reconize transisionl books as a steppin stone.,18.84375
531,Craft a learning guide for third-graders to analyze realistic fiction book themes.,21.0,19.84375,Craft a leawrning guide for third-graders to anlyze realeistic fiction book thesemes.,19.71875
532,Craft a learning guide for third-graders to analyze social justice book content.,23.75,20.25,Craft a leawning guide for third-graders to analsie socil justic book contnet.,19.34375
533,Create a guide for third-graders to explore illustrated nonfiction book formats.,20.0,19.515625,Createe a guid for third-graders to explre illustrated nonfiction book formats.,19.4375
